year,tract,pop,lpa,mhlth,obese
5,42101003701,6106,28,19.2,34.8
1,42101003702,3707,30.6,19.9,32.2
2,42101003702,3707,36.8,19.5,32.7
3,42101003702,3707,35.3,19,30.7
4,42101003702,3707,36.2,20.9,31.5
5,42101003702,3678,25.5,17.5,30.6
1,42101003800,3898,22.1,15.1,25.6
2,42101003800,3898,25.5,14.6,26.1
3,42101003800,3898,24,15.3,23.9
4,42101003800,3898,24.6,16,25.1
5,42101003800,3820,17.7,15,25.7
1,42101003901,6062,23.5,16.2,25.5
2,42101003901,6062,27.4,15.6,26
3,42101003901,6062,25.9,16.1,24.1
4,42101003901,6062,26.6,17.2,25.1
5,42101003901,6219,20.9,16.2,27
1,42101003902,5507,21.7,15.5,25.8
2,42101003902,5507,25,14.9,26.3
3,42101003902,5507,23.6,15.8,24.2
4,42101003902,5507,24.1,16.3,25.4
5,42101003902,5697,20.3,16.8,27.8
1,42101004001,4259,24.5,17.4,26.1
2,42101004001,4259,29.6,17.1,27.3
3,42101004001,4259,28,17.2,25.3
4,42101004001,4259,28.9,18.6,26.3
5,42101004001,4477,20.8,18.1,29.1
1,42101004002,4998,23,16.4,25.9
2,42101004002,4998,27.5,16,26.8
3,42101004002,4998,25.9,16.4,24.7
4,42101004002,4998,26.6,17.2,25.8
5,42101004002,5359,21.4,16.6,26.7
1,42101004101,6243,34.2,19.8,29
2,42101004101,6243,37.3,18,28.3
3,42101004101,6243,36.3,17.5,26.4
4,42101004101,6243,37.1,19.3,27
5,42101004101,7166,27.9,18.2,27.9
1,42101004102,7848,35.4,22.2,30.1
2,42101004102,7848,37.9,19.7,29
3,42101004102,7848,36.3,18.7,27.1
4,42101004102,7848,37.5,20.9,27.9
5,42101004103,4273,34.3,19.3,29.3
5,42101004104,4561,29.9,18.1,27.9
1,42101004201,5105,22.6,16.9,26.8
2,42101004201,5105,26.9,16.6,27.3
3,42101004201,5105,25,17.1,25.3
4,42101004201,5105,25.7,18.2,26.4
5,42101004201,5287,21,17.2,28.2
1,42101004202,4925,27.4,18.5,27.6
2,42101004202,4925,33.2,18.5,29
3,42101004202,4925,31.5,18.2,26.8
4,42101004202,4925,32.6,19.7,27.9
5,42101004202,5261,28.4,18.5,28.9
1,42101005400,1314,25.8,16.5,35.2
2,42101005400,1314,30.6,15.6,35.7
3,42101005400,1314,29.2,16.3,33.7
4,42101005400,1314,29.7,17.2,34.2
5,42101005400,1191,27.7,17.2,37
1,42101005500,5635,26.3,16.8,35.3
2,42101005500,5635,30.8,15.8,35.5
3,42101005500,5635,29.5,16.7,33.4
4,42101005500,5635,30,17.6,34.1
5,42101005500,5498,28,18,38.4
1,42101005600,1111,33.1,23.1,39.1
2,42101005600,1111,36.6,20.6,37.8
3,42101005600,1111,35.1,20.7,35.9
4,42101005600,1111,36.2,22.9,36.5
5,42101005600,1061,29,20.9,38.9
1,42101006000,6450,30.7,19.8,36.2
2,42101006000,6450,36.9,19.1,37.1
3,42101006000,6450,35.5,19,34.9
4,42101006000,6450,36.3,20.6,35.6
5,42101006000,6607,31.6,19.3,38.5
1,42101006100,3123,29.1,17.7,35.5
2,42101006100,3123,34.2,16.9,36.3
3,42101006100,3123,32.9,17.2,34.2
4,42101006100,3123,33.5,18.6,34.9
5,42101006100,3380,29.2,19,38.3
1,42101006200,4524,32.3,22.9,40
2,42101006200,4524,38.6,22,40.1
3,42101006200,4524,36.5,21.5,38.2
4,42101006200,4524,37.5,23.9,38.8
5,42101006200,4498,27,19.8,38.7
1,42101006300,4236,36.1,22.7,39
2,42101006300,4236,41.1,21.4,38.5
3,42101006300,4236,39.5,20.4,36.6
4,42101006300,4236,40.5,22.8,37.2
5,42101006300,4022,35.7,22.3,41.3
1,42101006400,4472,33.2,22,38.5
2,42101006400,4472,38.5,20.7,38.5
3,42101006400,4472,36.7,20.1,36.7
4,42101006400,4472,37.8,22.5,37.3
5,42101006400,4549,37.9,23.6,42.8
1,42101006500,4486,32.6,19.8,41
2,42101006500,4486,37.6,18.7,41.6
3,42101006500,4486,36.4,18.7,39.5
4,42101006500,4486,37.2,20.4,40.1
5,42101006500,4663,30,19.4,40.5
1,42101006600,3750,41.5,23.7,40.8
2,42101006600,3750,46.8,22.3,41
3,42101006600,3750,45.7,20.6,39
4,42101006600,3750,47.1,23.5,39.5
5,42101006600,3592,40.1,21.7,43.1
1,42101006700,7472,31.7,21.9,37.9
2,42101006700,7472,35.7,20.1,37.5
3,42101006700,7472,33.8,20.1,35.6
4,42101006700,7472,34.5,21.9,36.3
5,42101006700,7450,33.3,21.9,40.8
1,42101006900,2539,39,26,44.5
2,42101006900,2539,46.4,25.3,46.1
3,42101006900,2539,44.7,23.6,44.1
4,42101006900,2539,46.3,26.8,44.7
1,42101007000,3990,32.8,20.6,40.7
2,42101007000,3990,38.4,19.5,42.1
3,42101007000,3990,37,19.3,40
4,42101007000,3990,37.9,21.2,40.5
5,42101007000,3892,31.9,20.7,42.1
1,42101007101,2557,40.1,23.8,44.4
2,42101007101,2557,45.8,22.5,44.6
3,42101007101,2557,44.6,21.1,42.5
4,42101007101,2557,46,23.8,43.1
5,42101007101,2437,31.3,20.4,41.7
1,42101007102,4924,35.1,20.9,42.7
2,42101007102,4924,40.5,19.9,42.9
3,42101007102,4924,39.4,19.5,40.8
4,42101007102,4924,40.4,21.5,41.2
5,42101007102,4674,37.2,22.1,44.6
1,42101007200,4773,34.1,20.5,41.5
2,42101007200,4773,39,19.4,42
3,42101007200,4773,37.7,19.2,39.8
4,42101007200,4773,38.7,21.1,40.3
5,42101007200,4502,35.1,21.6,43.8
1,42101007300,3088,30.1,19.7,38.4
2,42101007300,3088,34.1,18,38.2
3,42101007300,3088,32.5,18.5,36.1
4,42101007300,3088,33.2,19.9,36.7
5,42101007300,3207,23.7,18.8,36.3
1,42101007400,4338,32,20.4,39.2
2,42101007400,4338,36.8,19.2,38.8
3,42101007400,4338,35.5,19.2,36.7
4,42101007400,4338,36.3,21.1,37.3
5,42101007400,4225,30.7,20.8,38.3
